State,County FIPS,County Name, Solar , Wind , Hydroelectric , Low-Impact Hydroelectric , Natural Gas , Coal , Oil & Other FF , Other , Traditional TDS , Storage , Smart Grid , Micro Grid , Other Grid Mod , Coal .1, Petroleum , Natural Gas .1, Woody Biomass , Corn Ethanol , Other Clean Fuels , Other .1, ENERGY STAR & Efficient Lighting , Traditional HVAC , High Efficiency HVAC & Renewable H&C , Advanced Materials & Insulation ,Other, MV ,state_id,state_abbr,county_state_name,county_id,county_name,latitude,longitude,population,population_cohort,employment,employment_cohort,doe_climate_zone,cohort,residential_electricity_consumption,residential_electricity_expenditures,residential_electricity_utility_customers,residential_gas_consumption,residential_gas_expenditures,residential_gas_utility_customers,occuped_housing_units,commercial_electricity_consumption,commercial_electricity_expenditures,commercial_electricity_utility_customers,commercial_gas_consumption,commercial_gas_expenditures,commercial_gas_utility_customers,road_gas_consumption,road_diesel_consumption,road_miles_traveled,industry_electricity_consumption,industry_electricity_expenditures,industry_gas_consumption,residential_electricity_ghg,residential_gas_ghg,commercial_electricity_ghg,commercial_gas_ghg,industry_electricity_ghg,industry_gas_ghg,road_gas_ghg,road_diesel_ghg,egrid_primary_subregion,CO2 equivalent total output emission rate (mton/MWh),CO2 equivalent total output emission rate (mton/Mcf),CO2 equivalent total output emission rate (mton/gallon),CO2 equivalent total output emission rate (mton/gallon).1
AL,1001,Autauga County,5,8,6,1,54,8,7,8,75,1,1,8,3,3,3,4,8,8,8,1,3,18,12,59,5,568,1.0,AL,"Autauga County, AL",1001.0,Autauga County,32.532237,-86.64644,55049.0,7.0,21580.0,5.0,3.0,30705.0,315398.0,39864.0,22120.0,316920.0,4185.0,9750.0,20800.0,128186.0,14821.0,2415.0,170669.0,1703.0,468.0,25332114.0,11506887.0,740266187.0,33506.0,2025.0,3263590.0,156670.0,17424.0,63675.0,9384.0,16644.0,179435.0,273473.0,145622.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1003,Baldwin County,40,38,9,3,9,2,5,4,814,16,2,3,10,4,76,11,1,10,25,18,95,164,101,489,82,952,1.0,AL,"Baldwin County, AL",1003.0,Baldwin County,30.659218,-87.746067,199510.0,11.0,122682.0,9.0,2.0,21109.0,1064843.0,126826.0,127891.0,273012.0,5989.0,21862.0,75149.0,1122222.0,117677.0,19816.0,407181.0,6532.0,2375.0,116066055.0,42975312.0,3239817322.0,389609.0,23543.0,1663962.0,528947.0,15010.0,557449.0,22387.0,193533.0,91486.0,1252990.0,543862.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1005,Barbour County,4,6,7,7,1,2,6,4,99,3,3,1,9,7,43,8,29,8,6,3,8,2,7,19,1,72,1.0,AL,"Barbour County, AL",1005.0,Barbour County,31.870253,-85.405104,26614.0,6.0,13613.0,4.0,3.0,30604.0,136098.0,17085.0,11494.0,40062.0,668.0,724.0,9122.0,87199.0,10128.0,1920.0,85081.0,1092.0,369.0,14909195.0,4016334.0,391131704.0,334420.0,20208.0,1526156.0,67605.0,2203.0,43315.0,4678.0,166119.0,83909.0,160952.0,50828.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1007,Bibb County,9,8,1,8,3,2,8,2,24,24,14,1,7,9,3,5,22,2,1,5,1,4,2,14,8,333,1.0,AL,"Bibb County, AL",1007.0,Bibb County,33.015893,-87.127148,22572.0,5.0,6699.0,2.0,3.0,30502.0,117401.0,14858.0,8738.0,99056.0,1306.0,1441.0,7048.0,44056.0,5106.0,1121.0,53863.0,533.0,217.0,11806243.0,3776567.0,320513006.0,11471.0,693.0,3742.0,58318.0,5446.0,21884.0,2961.0,5698.0,206.0,127454.0,47793.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1009,Blount County,14,4,3,6,1,8,6,7,33,1,3,3,3,1,1,8,1,7,4,1,11,26,16,69,11,203,1.0,AL,"Blount County, AL",1009.0,Blount County,33.977358,-86.56644,57704.0,8.0,12557.0,4.0,3.0,30804.0,328466.0,41577.0,23227.0,193482.0,2576.0,4634.0,20619.0,123154.0,14273.0,2909.0,6049.0,60.0,336.0,23520539.0,9996834.0,673272458.0,129611.0,7832.0,136813.0,177690.0,10638.0,66623.0,333.0,70116.0,7522.0,253916.0,126512.0,SRTV,0.540971056,0.054980794,0.01079549,0.012655217
AL,1011,Bullock County,9,6,7,2,3,9,5,9,62,2,3,9,8,8,6,1,13,7,11,2,5,6,7,9,5,4,1.0,AL,"Bullock County, AL",1011.0,Bullock County,32.101759,-85.717261,10552.0,3.0,3422.0,1.0,3.0,30301.0,53059.0,6709.0,4345.0,31638.0,419.0,627.0,3556.0,18976.0,2199.0,504.0,8.0,0.0,106.0,6186642.0,1975072.0,167836840.0,56343.0,3405.0,201530.0,26357.0,1739.0,9426.0,0.0,27988.0,11080.0,66788.0,24995.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1013,Butler County,2,8,7,8,6,2,4,3,83,7,3,5,3,9,22,8,35,7,6,7,1,7,9,13,9,442,1.0,AL,"Butler County, AL",1013.0,Butler County,31.751667,-86.681969,20280.0,5.0,12211.0,4.0,3.0,30504.0,117812.0,14944.0,9655.0,32256.0,570.0,1607.0,7675.0,75713.0,8777.0,1459.0,62576.0,841.0,281.0,22568262.0,13011949.0,689255139.0,65106.0,3934.0,40235.0,58522.0,1773.0,37610.0,3440.0,32341.0,2212.0,243635.0,164669.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1015,Calhoun County,18,19,26,7,22,4,3,7,341,7,1,6,4,6,15,1,11,7,6,15,29,71,42,174,33,1508,1.0,AL,"Calhoun County, AL",1015.0,Calhoun County,33.771706,-85.822513,115883.0,9.0,71664.0,8.0,3.0,30908.0,648757.0,82123.0,51932.0,788725.0,10399.0,19397.0,45071.0,539145.0,62504.0,9789.0,585983.0,5804.0,1768.0,53512407.0,16543137.0,1453111884.0,610312.0,36879.0,1920892.0,350959.0,43365.0,291662.0,32218.0,330161.0,105612.0,577693.0,209357.0,SRTV,0.540971056,0.054980794,0.01079549,0.012655217
AL,1017,Chambers County,10,5,3,4,4,9,3,4,58,2,6,9,3,4,3,7,43,4,6,4,7,15,8,56,4,728,1.0,AL,"Chambers County, AL",1017.0,Chambers County,32.915504,-85.394032,34018.0,6.0,12279.0,4.0,3.0,30604.0,207888.0,26283.0,16463.0,153560.0,2025.0,3334.0,13851.0,125283.0,14515.0,2258.0,115461.0,1144.0,412.0,20775028.0,7101580.0,566425834.0,172442.0,10420.0,1312672.0,103266.0,8443.0,62233.0,6348.0,85658.0,72172.0,224277.0,89872.0,SRSO,0.496737217,0.054980794,0.01079549,0.012655217
AL,1019,Cherokee County,2,2,26,8,16,5,7,9,39,5,6,6,1,7,3,8,5,2,6,5,8,4,6,2,7,412,1.0,AL,"Cherokee County, AL",1019.0,Cherokee County,34.069515,-85.654242,25897.0,6.0,7709.0,3.0,3.0,30603.0,162897.0,20819.0,15835.0,86644.0,1274.0,2080.0,10999.0,75847.0,9914.0,2993.0,133379.0,1378.0,421.0,13580194.0,4218086.0,362839833.0,307649.0,18590.0,486007.0,88122.0,4764.0,41031.0,7333.0,166429.0,26721.0,146605.0,53381.0,SRTV,0.540971056,0.054980794,0.01079549,0.012655217
